Date (dd/mm/yyyy),09/12/2025,,,,,,,,,
Dealer (Company),Great Floors - Lacey,,,,,,,,,
Designer Name (First/Last),Brandon Riem,,,,,,,,,
PO:/Design Name (First/Last),Anderson PO25-391065 (Hall Closet V5),,,,,,,,,
Shipping Address,"7800 Martin Way E, Lacey, WA, US, 98516",,,,,,,,,
Phone,360 438 3900,,,,,,,,,
Tax ID,82-0524095,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1656,,,,,,,,,
# of Core Parts,16,,,,,,,,,
# of Dovetails,0,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
34MDRWB1,TFL1W,2,231,675.8,340,19,,,,
34MDRWB1,TFL1W,1,135,675.8,340,19,,,,
DRWEURO,TFL2F,1,189,701.8,,19,1,1,1,1
DRWEURO,TFL2F,2,285,701.8,,19,1,1,1,1
34SHFA,TFL2F,3,685.8,355.6,,19,1,1,1,1
34SHFF,TFL2F,3,685.8,355.6,,19,1,1,0,0
TK,TFL2F,1,685.8,96.5,,19,0,0,0,0
FILL,TFL2F,1,2132,127,,19,0,0,1,1
34PNLF,TFL2F,2,2132,355.6,,19,1,1,1,1
M-105-DS10350H,"Undermount Softclose Slides 14""",3,,,,,,,,
R-B1655BRN,Corner Bracket / Brown,2,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,18,,,,,,,,
H.263.50.105,Fixed Shelf Cams Brown,18,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,4,,,,,,,,
M-06-7000,System screw Pozi (euro),9,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,9,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,6,,,,,,,,
M-03-2415,Adjustable Shelf Pins,15,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,13,,,,,,,,
R-5282G,Corner Bracket / Steel,2,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,9,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,18,,,,,,,,
