Date (dd/mm/yyyy),09/12/2025,,,,,,,,,
Dealer (Company),Great Floors - Lacey,,,,,,,,,
Designer Name (First/Last),Brandon Riem,,,,,,,,,
PO:/Design Name (First/Last),Anderson PO25-391065 (KIDS CLOSET V5),,,,,,,,,
Shipping Address,"7800 Martin Way E, Lacey, WA, US, 98516",,,,,,,,,
Phone,360 438 3900,,,,,,,,,
Tax ID,82-0524095,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1656,,,,,,,,,
# of Core Parts,46,,,,,,,,,
# of Dovetails,0,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
34MDRWB1,TFL1W,2,231,758.3,340,19,,,,
34MDRWB1,TFL1W,1,135,758.3,340,19,,,,
34MDRWB1,TFL1W,2,231,748.8,340,19,,,,
34MDRWB1,TFL1W,1,135,748.8,340,19,,,,
DRWEURO,TFL2F,1,189,774.8,,19,1,1,1,1
DRWEURO,TFL2F,2,285,774.8,,19,1,1,1,1
DRWEURO,TFL2F,1,189,784.3,,19,1,1,1,1
DRWEURO,TFL2F,2,285,784.3,,19,1,1,1,1
34SHFA,TFL2F,5,758.8,355.6,,19,1,1,1,1
34SHFF,TFL2F,6,758.8,355.6,,19,1,1,0,0
34SHFA,TFL2F,5,768.3,355.6,,19,1,1,1,1
34SHFF,TFL2F,6,768.3,355.6,,19,1,1,0,0
FILL,TFL2F,2,2132,101.6,,19,0,0,1,1
TK,TFL2F,2,768.3,96.5,,19,0,0,0,0
TK,TFL2F,2,758.8,96.5,,19,0,0,0,0
34PNLF,TFL2F,6,2132,355.6,,19,1,1,1,1
H.547.52.524,Synergy Elite Shoe Fence Black ,2,,,,,,,,
H.801.43.340.CTS, Round Rod Black- Cut to size,2,,,758.8,,,,,
H.803.64.410, Round Rod Holder Black,8,,,,,,,,
H.801.43.340.CTS, Round Rod Black- Cut to size,2,,,749.3,,,,,
M-105-DS10350H,"Undermount Softclose Slides 14""",6,,,,,,,,
R-5282G,Corner Bracket / Steel,6,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,62,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,22,,,,,,,,
R-B1655BRN,Corner Bracket / Brown,6,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,68,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,12,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,18,,,,,,,,
M-06-7000,System screw Pozi (euro),18,,,,,,,,
M-03-2415,Adjustable Shelf Pins,56,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,68,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,12,,,,,,,,
H.263.50.105,Fixed Shelf Cams Brown,72,,,,,,,,
