Date (dd/mm/yyyy),09/12/2025,,,,,,,,,
Dealer (Company),Great Floors - Lacey,,,,,,,,,
Designer Name (First/Last),Bradon Riem,,,,,,,,,
PO:/Design Name (First/Last),Anderson PO25-391065 (Primary V5),,,,,,,,,
Shipping Address,"7800 Martin Way E, Lacey, WA, US, 98516",,,,,,,,,
Phone,360 438 3900,,,,,,,,,
Tax ID,82-0524095,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1656,,,,,,,,,
# of Core Parts,33,,,,,,,,,
# of Dovetails,0,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
34MDRWB1,TFL1W,2,231,599.6,340,19,,,,
34MDRWB1,TFL1W,1,103,599.6,340,19,,,,
JDRWEURO,TFL2F,1,157,625.6,,19,1,1,1,1
DRWEURO,TFL2F,1,157,625.6,,19,1,1,1,1
DRWEURO,TFL2F,2,285,625.6,,19,1,1,1,1
34SHFA,TFL2F,3,609.6,355.6,,19,1,1,1,1
34SHFA,TFL2F,5,288.9,355.6,,19,1,1,1,1
34SHFF,TFL2F,4,914.4,355.6,,19,1,1,0,0
34SHFF,TFL2F,4,609.6,355.6,,19,1,1,0,0
34SHFF,TFL2F,2,288.9,355.6,,19,1,1,0,0
TK,TFL2F,1,609.6,96.5,,19,0,0,0,0
TK,TFL2F,1,288.9,96.5,,19,0,0,0,0
FILL,TFL2F,1,2132,76.2,,19,0,0,1,1
TK,TFL2F,1,914.4,96.5,,19,0,0,0,0
34PNLF,TFL2F,4,2132,355.6,,19,1,1,1,1
H.547.52.526,Synergy Elite Shoe Fence Black ,1,,,,,,,,
H.811.03.504,"Jewelry Tray (24"") (Uses Tilt-down 6"" ""D"" Front - Needs fixed shelf)",1,,,,,,,,
H.801.43.340.CTS, Round Rod Black- Cut to size,2,,,904.9,,,,,
H.803.64.410, Round Rod Holder Black,6,,,,,,,,
H.801.43.340.CTS, Round Rod Black- Cut to size,1,,,279.4,,,,,
M-105-89T02TQ,Softclose Plate 0mm Closets,3,,,,,,,,
M-105-DS10350H,"Undermount Softclose Slides 14""",3,,,,,,,,
M-372-NJ35D65-14,"Side Mount Softclose Slides 14""",1,,,,,,,,
M-105-C80B675F,Soft Close Hinge110' HalfOverlay Closets,3,,,,,,,,
R-5282G,Corner Bracket / Steel,4,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,50,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,8,,,,,,,,
R-B1655BRN,Corner Bracket / Brown,4,,,,,,,,
M-R20-1513,Flat Screw #6 x 1/2   #1 Drive,6,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,6,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,9,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,13,,,,,,,,
M-03-2415,Adjustable Shelf Pins,43,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,57,,,,,,,,
H.263.50.105,Fixed Shelf Cams Brown,59,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,57,,,,,,,,
M-06-7000,System screw Pozi (euro),18,,,,,,,,
