Date (dd/mm/yyyy),09/01/2026,,,,,,,,,
Dealer (Company),Cabinet IQ co Continuum Warehouse and Delivery,,,,,,,,,
Designer Name (First/Last),Jan Taylor,,,,,,,,,
PO:/Design Name (First/Last),K Kearney (Caretaker V3),,,,,,,,,
Shipping Address,"4350 Kearney St Unit A,, Denver, CO, US, 80216",,,,,,,,,
Phone,303-320-9092,,,,,,,,,
Tax ID,99-1712376,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1691,,,,,,,,,
# of Core Parts,24,,,,,,,,,
# of Dovetails,4,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
DBX36_18_231,,3,231,847.2,440,,,,,
DBX24_18_103,,1,103,599.6,440,,,,,
DRWEURO,TFL1W,1,157,625.6,,19,1,1,1,1
DRWEURO,TFL1W,3,285,873.2,,19,1,1,1,1
34SHFA,TFL1W,3,609.6,457.2,,19,1,1,1,1
34SHFF,TFL1W,3,609.6,457.2,,19,1,1,0,0
34SHFF,TFL1W,4,857.2,457.2,,19,1,1,0,0
TK,TFL1W,1,609.6,96.5,,19,0,0,0,0
TK,TFL1W,1,857.2,96.5,,19,0,0,0,0
CLEAT,TFL1W,1,609.6,76.2,,19,1,1,1,1
CLEAT,TFL1W,1,857.2,76.2,,19,1,1,1,1
FILL,TFL1W,2,2132,76.2,,19,0,0,1,1
34PNLF,TFL1W,1,2420,457.2,,19,1,1,1,1
34PNLR,TFL1W,1,2420,457.2,,19,1,1,1,1
34PNLL,TFL1W,1,2420,457.2,,19,1,1,1,1
HDREURO,TFL1W,1,701,625.6,,19,1,1,1,1
H.547.42.994,Flap Stay Hamper Kit Black,1,,,,,,,,
H.547.43.313,"Tilt-out Hamper, Black Canvas",1,,,,,,,,
H.801.42.240.CTS, Round Rod Chrome- Cut to size,1,,,847.7,,,,,
H.803.39.210, Round Rod Holder Chrome,2,,,,,,,,
M-105-89T02TQ,Softclose Plate 0mm Closets,3,,,,,,,,
M-105-C80B675F,Soft Close Hinge110' HalfOverlay Closets,3,,,,,,,,
M-105-DS10450H,"Undermount Softclose Slides 18""",4,,,,,,,,
R-5282G,Corner Bracket / Steel,3,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,35,,,,,,,,
M-03-2415,Adjustable Shelf Pins,15,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,8,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,12,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,41,,,,,,,,
H.263.50.705,Fixed Shelf Cams White,41,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,41,,,,,,,,
R-B1655WH,Corner Bracket / White,3,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,6,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,22,,,,,,,,
M-06-7000,System screw Pozi (euro),18,,,,,,,,
