Date (dd/mm/yyyy),11/12/2025,,,,,,,,,
Dealer (Company),"CDG Maui Inc co H2O Logistics,",,,,,,,,,
Designer Name (First/Last),Katharina Voigt,,,,,,,,,
PO:/Design Name (First/Last),Lot 12 (ENTRY V5),,,,,,,,,
Shipping Address,"23601 South Wilmington Avenue,, Carson, CA, US, 90745",,,,,,,,,
Phone,310 324 8955,,,,,,,,,
Tax ID,84-4763239,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,NO,,,,,,,,,
Order ID,1663,,,,,,,,,
# of Core Parts,16,,,,,,,,,
# of Dovetails,0,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
34SHFF,TFL2SB,2,899.9,355.6,,19,1,1,0,0
34SHFF,TFL2SB,1,609.6,457.2,,19,1,1,0,0
34SHFF,TFL2SB,2,608.7,355.6,,19,1,1,0,0
34SHFA,TFL2SB,4,609.6,457.2,,19,1,1,1,1
CLEAT,TFL2SB,1,609.6,76.2,,19,1,1,1,1
34WPNLL,TFL2SB,2,596,355.6,,19,1,1,1,1
34WPNLR,TFL2SB,2,596,355.6,,19,1,1,1,1
34PNLL,TFL2SB,1,2132,457.2,,19,1,1,1,1
34PNLR,TFL2SB,1,2132,457.2,,19,1,1,1,1
M-04-5311,Oval Rod Holder Chrome,4,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,890.4,,,,,
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,599.2,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,20,,,,,,,,
H.290.11.901,Wall Rail,1,,,,,,,,
R-5282G,Corner Bracket / Steel,6,,,,,,,,
H.290.12.481,Wall Rail Cover Beige,1,,,,,,,,
H.290.02.715,Hanging Rail Hardware Left,2,,,,,,,,
H.290.06.033,Hanging Rail Hardware Cover Left Beige,2,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,25,,,,,,,,
H.290.06.053,Hanging Rail Hardware Cover Right Beige,2,,,,,,,,
H.290.02.714,Hanging Rail Hardware Right,2,,,,,,,,
M-03-2415,Adjustable Shelf Pins,20,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,25,,,,,,,,
H.263.50.405,Fixed Shelf Cams Beige,25,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,25,,,,,,,,
R-B1655ALM,Corner Bracket / Beige,6,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,12,,,,,,,,
M-06-7000,System screw Pozi (euro),12,,,,,,,,
