Date (dd/mm/yyyy),11/12/2025,,,,,,,,,
Dealer (Company),"CDG Maui Inc co H2O Logistics,",,,,,,,,,
Designer Name (First/Last),Katharina Voigt,,,,,,,,,
PO:/Design Name (First/Last),Lot 12 (MASTER V7),,,,,,,,,
Shipping Address,"23601 South Wilmington Avenue,, Carson, CA, US, 90745",,,,,,,,,
Phone,310 324 8955,,,,,,,,,
Tax ID,84-4763239,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,NO,,,,,,,,,
Order ID,1663,,,,,,,,,
# of Core Parts,110,,,,,,,,,
# of Dovetails,0,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
34MDRWB2,TFL2SB,1,135,904.4,440,19,,,,
34MDRWB2,TFL2SB,1,135,872.6,440,19,,,,
34MDRWB2,TFL2SB,3,231,872.6,440,19,,,,
34MDRWB2,TFL2SB,6,231,545.6,440,19,,,,
34MDRWB2,TFL2SB,2,135,545.6,440,19,,,,
34MDRWB2,TFL2SB,3,231,904.4,440,19,,,,
DRWEURO,TFL2SB,1,189,898.6,,19,1,1,1,1
DRWEURO,TFL2SB,3,285,898.6,,19,1,1,1,1
DRWEURO,TFL2SB,1,189,930.4,,19,1,1,1,1
DRWEURO,TFL2SB,3,285,930.4,,19,1,1,1,1
DRWEURO,TFL2SB,2,189,571.6,,19,1,1,1,1
DRWEURO,TFL2SB,6,285,571.6,,19,1,1,1,1
34SHFF,TFL2SB,3,876.3,533.4,,19,1,1,0,0
34SHFF,TFL2SB,6,555.6,533.4,,19,1,1,0,0
34SHFF,TFL2SB,1,381,533.4,,19,1,1,0,0
34SHFF,TFL2SB,3,914.4,533.4,,19,1,1,0,0
34SHFF,TFL2SB,3,882.6,533.4,,19,1,1,0,0
34SHFF,TFL2SB,4,1092.2,533.4,,19,1,1,0,0
34SHFF,TFL2SB,6,536.6,533.4,,19,1,1,0,0
34SHFA,TFL2SB,2,914.4,533.4,,19,1,1,1,1
34SHFF,TFL2SB,3,1143,533.4,,19,1,1,0,0
34SHFA,TFL2SB,2,882.6,533.4,,19,1,1,1,1
34SHFF,TFL2SB,1,430.4,533.4,,19,1,1,0,0
34SHFF,TFL2SB,6,1016,533.4,,19,1,1,0,0
TK,TFL2SB,1,876.3,96.5,,19,0,0,0,0
TK,TFL2SB,2,1016,96.5,,19,0,0,0,0
CLEAT,TFL2SB,1,1143,76.2,,19,1,1,1,1
TK,TFL2SB,1,1092.2,96.5,,19,0,0,0,0
TK,TFL2SB,1,1143,96.5,,19,0,0,0,0
TK,TFL2SB,1,882.6,96.5,,19,0,0,0,0
CLEAT,TFL2SB,1,1092.2,76.2,,19,1,1,1,1
CLEAT,TFL2SB,1,914.4,76.2,,19,1,1,1,1
TK,TFL2SB,1,914.4,96.5,,19,0,0,0,0
CLEAT,TFL2SB,2,555.6,76.2,,19,1,1,1,1
CLEAT,TFL2SB,1,882.6,76.2,,19,1,1,1,1
TK,TFL2SB,2,555.6,96.5,,19,0,0,0,0
FILL,TFL2SB,5,2292,76.2,,19,0,0,1,1
CLEAT,TFL2SB,1,876.3,76.2,,19,1,1,1,1
CLEAT,TFL2SB,2,1016,76.2,,19,1,1,1,1
34PNLF,TFL2SB,5,2292,533.4,,19,1,1,1,1
34PNLL,TFL2SB,4,2292,533.4,,19,1,1,1,1
34PNLR,TFL2SB,4,2292,533.4,,19,1,1,1,1
34DIVF,TFL2SB,1,845,533.4,,19,1,1,1,1
34DIVF,TFL2SB,1,173,533.4,,19,1,1,1,1
H.547.52.223,Synergy Elite Shoe Fence Polished Chrome ,6,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,546.1,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,1133.5,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,866.8,,,,,
M-04-5311,Oval Rod Holder Chrome,18,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,1006.5,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,1,,,1082.7,,,,,
M-105-DS10450H,"Undermount Softclose Slides 18""",16,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,110,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,88,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,26,,,,,,,,
H.263.50.405,Fixed Shelf Cams Beige,197,,,,,,,,
R-B1655ALM,Corner Bracket / Beige,13,,,,,,,,
R-5282G,Corner Bracket / Steel,13,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,185,,,,,,,,
M-06-7000,System screw Pozi (euro),48,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,48,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,32,,,,,,,,
M-03-2415,Adjustable Shelf Pins,38,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,185,,,,,,,,
