Date (dd/mm/yyyy),02/12/2025,,,,,,,,,
Dealer (Company),Bayview Design Center,,,,,,,,,
Designer Name (First/Last),Frank Parros,,,,,,,,,
PO:/Design Name (First/Last),M Mahler (Mahler Closet V3),,,,,,,,,
Shipping Address,"2815 Howard Rd,, Langley, WA, US, 98260",,,,,,,,,
Phone,360-661-3639,,,,,,,,,
Tax ID,68-0666964,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,NO,,,,,,,,,
Order ID,1644,,,,,,,,,
# of Core Parts,112,,,,,,,,,
# of Dovetails,15,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
DBX30_18_135,,2,135,675.8,440,,,,,
DBX24_14_103,,3,103,599.6,340,,,,,
DBX30_18_231,,4,231,675.8,440,,,,,
DBX36_18_103,,1,103,904.4,440,,,,,
DBX24_14_231,,2,231,599.6,340,,,,,
DBX36_14_231,,3,231,853.6,340,,,,,
DRWEURO,TFL4P,3,157,625.6,,19,1,1,1,1
DRWEURO,TFL4P,1,157,930.4,,19,1,1,1,1
DRWEURO,TFL4P,4,285,701.8,,19,1,1,1,1
DRWEURO,TFL4P,2,285,625.6,,19,1,1,1,1
DRWEURO,TFL4P,2,189,701.8,,19,1,1,1,1
DRWEURO,TFL4P,3,285,879.6,,19,1,1,1,1
34SHFF,TFL4P,3,457.2,355.6,,19,1,1,0,0
34SHFF,TFL4P,4,914.4,482.6,,19,1,1,0,0
34SHFA,TFL4P,3,457.2,355.6,,19,1,1,1,1
34SHFF,TFL4P,3,609.6,355.6,,19,1,1,0,0
34SHFF,TFL4P,6,914.4,355.6,,19,1,1,0,0
34SHFA,TFL4P,1,660.4,355.6,,19,1,1,1,1
34SHFF,TFL4P,4,685.8,482.6,,19,1,1,0,0
34SHFF,TFL4P,13,660.4,355.6,,19,1,1,0,0
34SHFF,TFL4P,3,863.1,355.6,,19,1,1,0,0
34SHFF,TFL4P,6,863.6,355.6,,19,1,1,0,0
34SHFA,TFL4P,2,609.6,355.6,,19,1,1,1,1
TK,TFL4P,1,863.1,96.5,,19,0,0,0,0
TK,TFL4P,1,863.6,96.5,,19,0,0,0,0
TK,TFL4P,2,914.4,96.5,,19,0,0,0,0
TK,TFL4P,1,457.2,96.5,,19,0,0,0,0
CLEAT,TFL4P,5,660.4,76.2,,19,1,1,1,1
TK,TFL4P,2,685.8,96.5,,19,0,0,0,0
34BACK,TFL4P,1,884,685.8,,19,1,1,1,1
15TOPS,TFL4P,1,775.6,1035,,38,1,1,1,1
CLEAT,TFL4P,1,457.2,76.2,,19,1,1,1,1
CLEAT,TFL4P,1,609.6,76.2,,19,1,1,1,1
TK,TFL4P,3,660.4,96.5,,19,0,0,0,0
CLEAT,TFL4P,1,863.6,76.2,,19,1,1,1,1
CLEAT,TFL4P,5,914.4,76.2,,19,1,1,1,1
TK,TFL4P,1,609.6,96.5,,19,0,0,0,0
CLEAT,TFL4P,2,863.1,76.2,,19,1,1,1,1
34PNLRI1919,TFL4P,1,884,984.2,,19,1,1,1,1
34PNLLI1919,TFL4P,1,884,984.2,,19,1,1,1,1
34PNLR,TFL4P,1,2100,482.6,,19,1,1,1,1
34PNLR,TFL4P,4,2100,355.6,,19,1,1,1,1
34PNLF,TFL4P,5,2100,355.6,,19,1,1,1,1
34PNLL,TFL4P,4,2100,355.6,,19,1,1,1,1
34PNLL,TFL4P,1,2100,482.6,,19,1,1,1,1
LDREURO,TFL4P,1,925,311.3,,19,1,1,1,1
RDREURO,TFL4P,1,925,311.3,,19,1,1,1,1
LDREURO,TFL4P,1,509,463.7,,19,1,1,1,1
RDREURO,TFL4P,1,509,463.7,,19,1,1,1,1
H.547.52.226,Synergy Elite Shoe Fence Polished Chrome ,3,,,,,,,,
H.547.52.224,Synergy Elite Shoe Fence Polished Chrome ,5,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,3,,,650.9,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,4,,,904.9,,,,,
M-04-5311,Oval Rod Holder Chrome,18,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,853.6,,,,,
M-105-DS10450H,"Undermount Softclose Slides 18""",7,,,,,,,,
M-105-89T02TQ,Softclose Plate 0mm Closets,14,,,,,,,,
M-105-C80B675F,Soft Close Hinge110' HalfOverlay Closets,14,,,,,,,,
M-105-DS10350H,"Undermount Softclose Slides 14""",8,,,,,,,,
R-5282G,Corner Bracket / Steel,15,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,139,,,,,,,,
M-03-2415,Adjustable Shelf Pins,54,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,45,,,,,,,,
M-06-7000,System screw Pozi (euro),73,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,227,,,,,,,,
H.263.50.105,Fixed Shelf Cams Brown,243,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,227,,,,,,,,
R-B1655BRN,Corner Bracket / Brown,15,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,36,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,82,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,30,,,,,,,,
