Date (dd/mm/yyyy),09/01/2026,,,,,,,,,
Dealer (Company),Cabinet IQ co Continuum Warehouse and Delivery,,,,,,,,,
Designer Name (First/Last),Jan Taylor,,,,,,,,,
PO:/Design Name (First/Last),Magness Head Kearney (Kearney His V4),,,,,,,,,
Shipping Address,"4350 Kearney St Unit A,, Denver, CO, US, 80216",,,,,,,,,
Phone,303-320-9092,,,,,,,,,
Tax ID,99-1712376,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1691,,,,,,,,,
# of Core Parts,52,,,,,,,,,
# of Dovetails,7,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
DBX30_22_231,,1,231,752,540,,,,,
DBX24_22_103,,3,103,567.9,540,,,,,
DBX36_22_231,,2,231,875.8,540,,,,,
DBX24_22_167,,1,167,567.9,540,,,,,
DRWEURO,TFL2CH,3,157,593.9,,19,1,1,1,1
DRWEURO,TFL2CH,2,285,901.8,,19,1,1,1,1
DRWEURO,TFL2CH,1,221,593.9,,19,1,1,1,1
DRWEURO,TFL2CH,1,285,778,,19,1,1,1,1
15SHFF,TFL2CH,1,762,558.8,,38,1,1,0,0
34SHFF,TFL2CH,3,762,558.8,,19,1,1,0,0
34SHFF,TFL2CH,11,885.8,558.8,,19,1,1,0,0
34SHFF,TFL2CH,3,1206.5,558.8,,19,1,1,0,0
15SHFF,TFL2CH,1,1206.5,558.8,,38,1,1,0,0
15SHFF,TFL2CH,2,885.8,558.8,,38,1,1,0,0
34SHFA,TFL2CH,1,1206.5,406.4,,19,1,1,1,1
CLEAT,TFL2CH,1,762,76.2,,19,1,1,1,1
TK,TFL2CH,1,762,96.5,,19,0,0,0,0
FILL,TFL2CH,2,2420,76.2,,19,0,0,1,1
34TOPS,TFL2CH,1,1546.6,577.8,,19,1,1,1,1
TK,TFL2CH,2,885.8,96.5,,19,0,0,0,0
CLEAT,TFL2CH,1,885.8,76.2,,19,1,1,1,1
34BACK,TFL2CH,1,2068,924.3,,19,1,1,1,1
34BACK,TFL2CH,1,2420,943.6,,19,1,1,1,1
FILL,TFL2CH,1,2068,76.2,,19,0,0,1,1
34BACK,TFL2CH,1,2420,1264.2,,19,1,1,1,1
TK,TFL2CH,1,1206.5,96.5,,19,0,0,0,0
34BACK,TFL2CH,1,2420,839,,19,1,1,1,1
34PNLF,TFL2CH,1,660,560.4,,19,1,1,1,1
15PNLF,TFL2CH,1,2068,558.8,,38,1,1,1,1
15PNLF,TFL2CH,5,2420,558.8,,38,1,1,1,1
34DIVF,TFL2CH,1,685,558.8,,19,1,1,1,1
HDREURO,TFL2CH,1,701,625.6,,19,1,1,1,1
H.547.52.226,Synergy Elite Shoe Fence Polished Chrome ,6,,,,,,,,
H.805.31.203,Wardrobe Lift (hardware included),1,,,,,,,,
H.808.71.203,Valet Rod Polished Chrome [RIGHT],1,,,,,,,,
H.808.71.203,Valet Rod Polished Chrome [LEFT],1,,,,,,,,
H.547.42.994,Flap Stay Hamper Kit Black,1,,,,,,,,
H.547.43.313,"Tilt-out Hamper, Black Canvas",1,,,,,,,,
H.805.31.202,Wardrobe Lift (hardware included),2,,,,,,,,
H.807.67.213,Belt Rack Full Extension Polished Chrome [RIGHT],1,,,,,,,,
H.807.67.213,Belt Rack Full Extension Polished Chrome [LEFT],1,,,,,,,,
H.801.42.240.CTS, Round Rod Chrome- Cut to size,1,,,752.5,,,,,
H.801.42.240.CTS, Round Rod Chrome- Cut to size,1,,,876.3,,,,,
H.803.39.210, Round Rod Holder Chrome,4,,,,,,,,
M-105-C80B675F,Soft Close Hinge110' HalfOverlay Closets,3,,,,,,,,
M-105-89T02TQ,Softclose Plate 0mm Closets,3,,,,,,,,
M-105-DS10550H,"Undermount Softclose Slides 22""",7,,,,,,,,
R-B1655BLK,Corner Bracket / Black,7,,,,,,,,
R-5282G,Corner Bracket / Steel,7,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,60,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,20,,,,,,,,
M-06-7000,System screw Pozi (euro),27,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,105,,,,,,,,
H.263.50.305,Fixed Shelf Cams Black,117,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,105,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,68,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,21,,,,,,,,
M-03-2415,Adjustable Shelf Pins,23,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,14,,,,,,,,
