Date (dd/mm/yyyy),09/01/2026,,,,,,,,,
Dealer (Company),Cabinet IQ co Continuum Warehouse and Delivery,,,,,,,,,
Designer Name (First/Last),Jan Taylor,,,,,,,,,
PO:/Design Name (First/Last),Magness Head Kearney (Kearney Jewelry V5),,,,,,,,,
Shipping Address,"4350 Kearney St Unit A,, Denver, CO, US, 80216",,,,,,,,,
Phone,303-320-9092,,,,,,,,,
Tax ID,99-1712376,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1691,,,,,,,,,
# of Core Parts,65,,,,,,,,,
# of Dovetails,10,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
DBX24_18_103,,5,103,597.2,440,,,,,
DBX24_18_103,,5,103,596.4,440,,,,,
DRWEURO,TFL4S-SMAT,5,157,622.4,,19,1,1,1,1
DRWEURO,TFL4S-SMAT,5,157,623.2,,19,1,1,1,1
34SHFF,TFL4S-SMAT,1,609.6,304.8,,19,1,1,0,0
34SHFF,TFL4S-SMAT,2,607.2,457.2,,19,1,1,0,0
34SHFF,TFL4S-SMAT,2,606.4,457.2,,19,1,1,0,0
15SHFF,TFL4S-SMAT,1,609.6,304.8,,38,1,1,0,0
15SHFF,TFL4S-SMAT,1,1219.2,304.8,,38,1,1,0,0
34SHFF,TFL4S-SMAT,1,1219.2,304.8,,19,1,1,0,0
34SHFF,TFL4S-SMAT,2,444.5,609.6,,19,1,1,0,0
34SHFF,TFL4S-SMAT,2,654,609.6,,19,1,1,0,0
15SHFF,TFL4S-SMAT,1,811.2,355.6,,38,1,1,0,0
34SHFF,TFL4S-SMAT,2,811.2,355.6,,19,1,1,0,0
15TOPS,TFL4S-SMAT,1,1315.7,654,,38,1,1,1,1
FILL,TFL4S-SMAT,4,1172,76.2,,19,0,0,1,1
FILL,TFL4S-SMAT,2,2132,76.2,,19,1,1,1,1
CLEAT,TFL4S-SMAT,1,811.2,76.2,,19,1,1,1,1
34BACK,TFL4S-SMAT,1,1172,888.2,,19,1,1,1,1
FILL,TFL4S-SMAT,3,916,76.2,,19,0,0,1,1
CLEAT,TFL4S-SMAT,1,654,76.2,,19,1,1,1,1
34BACK,TFL4S-SMAT,1,916,502.3,,19,1,1,1,1
CLEAT,TFL4S-SMAT,1,444.5,76.2,,19,1,1,1,1
CLEAT,TFL4S-SMAT,1,1219.2,76.2,,19,1,1,1,1
CLEAT,TFL4S-SMAT,1,609.6,76.2,,19,1,1,1,1
34BACK,TFL4S-SMAT,1,1172,1276.9,,19,1,1,1,1
34BACK,TFL4S-SMAT,1,1172,667.3,,19,1,1,1,1
15TOPS,TFL4S-SMAT,1,2080,501.6,,38,1,1,1,1
34BACK,TFL4S-SMAT,1,916,665,,19,1,1,1,1
34BACK,TFL4S-SMAT,1,916,664.2,,19,1,1,1,1
TK,TFL4S-SMAT,1,606.4,96.5,,19,0,0,0,0
TK,TFL4S-SMAT,1,607.2,96.5,,19,0,0,0,0
34BACK,TFL4S-SMAT,1,916,711.8,,19,1,1,1,1
TK,TFL4S-SMAT,1,444.5,96.5,,19,0,0,0,0
TK,TFL4S-SMAT,1,654,96.5,,19,0,0,0,0
15PNLF,TFL4S-SMAT,3,916,609.6,,38,1,1,1,1
15PNLF,TFL4S-SMAT,2,1172,355.6,,38,1,1,1,1
15PNLF,TFL4S-SMAT,3,916,457.2,,38,1,1,1,1
15PNLF,TFL4S-SMAT,3,1172,304.8,,38,1,1,1,1
LDRTFL90SHAGD,TFL4S-SMAT,1,1128,625.6,,19,1,1,1,1
LDREURO,TFL4S-SMAT,1,797,333.5,,19,1,1,1,1
RDREURO,TFL4S-SMAT,1,797,333.5,,19,1,1,1,1
MIRRORSAFETY,Glass Inserts,1,1033,530.6,,6.3,,,,
H.547.52.226,Synergy Elite Shoe Fence Polished Chrome ,2,,,,,,,,
M-105-89T02TQ,Softclose Plate 0mm Closets,6,,,,,,,,
M-105-C80B675F,Soft Close Hinge110' HalfOverlay Closets,6,,,,,,,,
M-105-89T02TQ,Plate 0mm (Corner Module) ,5,,,,,,,,
M-105-DS10450H,"Undermount Softclose Slides 18""",10,,,,,,,,
M-03-2415,Adjustable Shelf Pins,6,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,20,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,30,,,,,,,,
M-06-7000,System screw Pozi (euro),47,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,91,,,,,,,,
H.263.50.705,Fixed Shelf Cams White,95,,,,,,,,
R-B1655WH,Corner Bracket / White,11,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,34,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,74,,,,,,,,
R-5282G,Corner Bracket / Steel,11,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,131,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,91,,,,,,,,
