,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Added Fields that are greyed out and ,,,,,,,,,,,,,,,,,,,
CAN/US DESCRIPTION,CAN Supplier,CAD Manu/User CODES,,Notes,,Fields ,calculated for PFC viewing,,Netley Retail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE - SCREWS/CONNECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustable Shelf Pins,Marathon,M-03-2415,,,,Quantity,Cost per piece  x Total Cost,7,,,17,,,25,,,,,,,,,,,,
Shelf Support Glass,Marathon,M-03-2404,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Flat Screw #6 x 1/2   1 Drive,Marathon,M-R20-1513,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Flat Screw #8 x 5/8   #2 Drive,Marathon,M-R20-1564,,,,Quantity,Cost per piece  x Total Cost,8,,,,,,,,,,,,,,,,,,
Flat Screw #8 x 3/4   #2 Drive,Marathon,M-R20-7165,,,,Quantity,Cost per piece  x Total Cost,,,,18,,,26,,,,,,,,,,,,
Flat Screw #8 x 1-1/4   #2 Drive,Marathon,M-R20-1765,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Flat Screw #8 x 2   #2 Drive,Marathon,M-R20-1773,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Flat Screw #8 x 2-1/2    #2 Drive,Marathon,M-R20-1779,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Drawer Front Screw Recex #8 x 1-1/4,Marathon,M-R20-3102,,,,Quantity,Cost per piece  x Total Cost,9,,,19,,,,,,,,,,,,,,,
Wafer Screw 3in (Garage Cabinet),Marathon,M-R20-3308,,,,Quantity,Cost per piece  x Total Cost,10,,,,,,27,,,,,,,,,,,,
Conformat Screw 7x50mm Pozi (Garage Cabinet),Marathon,M-06-6516,,,,Quantity,Cost per piece  x Total Cost,11,,,,,,,,,,,,,,,,,,
System Screw Pozi (euro),Marathon,M-06-7000,,,,Quantity,Cost per piece  x Total Cost,12,,,20,,,,,,,,,,,,,,,
"Spacer Drawer slides 1.25"" (White)",Marathon,M-02-9512,,,,Quantity,Cost per piece  x Total Cost,13,,,,,,,,,,,,,,,,,,
8/32 Standard Screw Break-away,Marathon,M-R20-3950,,,,Quantity,Cost per piece  x Total Cost,,,,,,,28,,,,,,,,,,,,
M4 mm Standard Screw Break-away,Hafele,H.022.35.887,,,,Quantity,Cost per piece  x Total Cost,,,,21,,,,,,,,,,,,,,,
Connector Sleeve m4,Hafele,H.267.01.717,,,,Quantity,Cost per piece  x Total Cost,14,,,,,,,,,,,,,,,,,,
Metric Screw M4 x 10 (Connector Sleeve),Hafele,H.022.35.109,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
System Bolt Single,Hafele,H.263.20.985,,,,Quantity,Cost per piece  x Total Cost,,,,22,,,29,,,,,,,,,,,,
System 1 Bolt  Double,Hafele,H.263.24.972,,,,Quantity,Cost per piece  x Total Cost,15,,,,,,,,,,,,,,,,,,
System 2 piece Double,Hafele,H.263.24.943,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Fixed Rafix Cams - White,Hafele,H.263.50.705,,,,Quantity,Cost per piece  x Total Cost,,,,23,,,,,,,,,,,,,,,
Fixed Rafix Cams - Black,Hafele,H.263.50.305,,,,Quantity,Cost per piece  x Total Cost,,,,,,,30,,,,,,,,,,,,
Fixed Rafix Cams - Brown,Hafele,H.263.50.105,,,,Quantity,Cost per piece  x Total Cost,16,,,,,,,,,,,,,,,,,,
Fixed Rafix Cams - Beige,Hafele,H.263.50.405,,,,Quantity,Cost per piece  x Total Cost,,,,24,,,,,,,,,,,,,,,
Glued Dowels 8x30mm ,Hafele,H.267.84.230,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Corner Bracket - White,Richelieu,R-B1655WH,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Corner Bracket - Black,Richelieu,R-B1655BLK,,,,Quantity,Cost per piece  x Total Cost,,"32,33,34,35",,,,,,,,,,,,,,,,,
Corner Bracket - Brown,Richelieu,R-B1655BRN,,,,Quantity,Cost per piece  x Total Cost,,,,,,,37,,,,,,,,,,,,
Corner Bracket - Almond,Richelieu,R-B1655ALM,,,,Quantity,Cost per piece  x Total Cost,,,,,,,,,,,,,,,,,,,
Corner Bracket - Steel,Richelieu,R-5282G,,,,Quantity,Cost per piece  x Total Cost,,36.00,,,,,,,,,,,,,,,,,
