Date (dd/mm/yyyy),22/12/2025,,,,,,,,,
Dealer (Company),Valley Lumber Co co Samson Tug & Barge,,,,,,,,,
Designer Name (First/Last),Joni Dahlstrom,,,,,,,,,
PO:/Design Name (First/Last),S Skye (Skye Apt F Clst V2),,,,,,,,,
Shipping Address,"9228 10th Avenue South,, Seattle, WA, US, 98108",,,,,,,,,
Phone,907-789-7500,,,,,,,,,
Tax ID,83-106189,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1679,,,,,,,,,
# of Core Parts,64,,,,,,,,,
# of Dovetails,8,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
SDBX24_22_8,,4,203,536.1,556,,,,,
SDBX24_22_6,,2,152,536.1,556,,,,,
SDBX24_22_3,,2,76,536.1,556,,,,,
34SHFF,TFL1W,2,1091.3,355.6,,19,1,1,0,0
34SHFF,TFL1W,2,964.3,355.6,,19,1,1,0,0
34SHFF,TFL1W,2,1034.6,355.6,,19,1,1,0,0
34SHFA,TFL1W,4,494.4,355.6,,19,1,1,1,1
34SHFF,TFL1W,2,494.4,355.6,,19,1,1,0,0
34SHFF,TFL1W,3,748.4,355.6,,19,1,1,0,0
34SHFA,TFL1W,6,546.1,355.6,,19,1,1,1,1
34SHFF,TFL1W,2,546.1,355.6,,19,1,1,0,0
34SHFA,TFL1W,5,418.2,609.6,,19,1,1,1,1
34SHFF,TFL1W,4,546.1,609.6,,19,1,1,0,0
34SHFF,TFL1W,2,418.2,609.6,,19,1,1,0,0
TK,TFL1W,2,546.1,96.5,,19,0,0,0,0
TK,TFL1W,1,418.2,96.5,,19,0,0,0,0
CLEAT,TFL1W,6,546.1,76.2,,19,1,1,1,1
34TOPS,TFL1W,1,1176.1,635,,19,1,1,1,1
CLEAT,TFL1W,1,418.2,76.2,,19,1,1,1,1
TK,TFL1W,1,494.4,96.5,,19,0,0,0,0
CLEAT,TFL1W,1,494.4,76.2,,19,1,1,1,1
34WPNLF,TFL1W,3,1204,355.6,,19,1,1,1,1
34WPNLF,TFL1W,2,436,355.6,,19,1,1,1,1
34WPNLF,TFL1W,1,468,355.6,,19,1,1,1,1
34WPNLR,TFL1W,1,1204,355.6,,19,1,1,1,1
34PNLL,TFL1W,1,2132,609.6,,19,1,1,1,1
34PNLR,TFL1W,1,884,609.6,,19,1,1,1,1
34PNLL,TFL1W,1,884,609.6,,19,1,1,1,1
34PNLR,TFL1W,1,2132,609.6,,19,1,1,1,1
34PNLR,TFL1W,1,1204,355.6,,19,1,1,1,1
34PNLF,TFL1W,1,884,609.6,,19,1,1,1,1
34PNLF,TFL1W,1,1204,355.6,,19,1,1,1,1
34PNLL,TFL1W,1,2132,355.6,,19,1,1,1,1
34PNLL,TFL1W,1,1204,355.6,,19,1,1,1,1
34PNLR,TFL1W,1,2132,355.6,,19,1,1,1,1
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,954.8,,,,,
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,1025.1,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,1,,,1081.8,,,,,
M-04-5311,Oval Rod Holder Chrome,12,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,738.9,,,,,
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,1081.8,,,,,
M-105-DS10550H,"Undermount Softclose Slides 22""",8,,,,,,,,
R-5282G,Corner Bracket / Steel,17,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,82,,,,,,,,
H.290.12.781,Wall Rail Cover White,2,,,,,,,,
H.290.11.901,Wall Rail,2,,,,,,,,
H.290.06.040,Hanging Rail Hardware Cover Right White,6,,,,,,,,
H.290.02.714,Hanging Rail Hardware Right,6,,,,,,,,
H.290.02.715,Hanging Rail Hardware Left,7,,,,,,,,
M-03-2415,Adjustable Shelf Pins,85,,,,,,,,
M-06-7000,System screw Pozi (euro),63,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,119,,,,,,,,
H.263.50.705,Fixed Shelf Cams White,119,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,119,,,,,,,,
R-B1655WH,Corner Bracket / White,17,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,40,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,78,,,,,,,,
H.290.06.020,Hanging Rail Hardware Cover Left White,7,,,,,,,,
