Date (dd/mm/yyyy),22/12/2025,,,,,,,,,
Dealer (Company),Valley Lumber Co co Samson Tug & Barge,,,,,,,,,
Designer Name (First/Last),Joni Dahlstrom,,,,,,,,,
PO:/Design Name (First/Last),S Skye (Skye CC Clsts V2),,,,,,,,,
Shipping Address,"9228 10th Avenue South,, Seattle, WA, US, 98108",,,,,,,,,
Phone,907-789-7500,,,,,,,,,
Tax ID,83-106189,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1679,,,,,,,,,
# of Core Parts,62,,,,,,,,,
# of Dovetails,5,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
SDBX36_22_8,,2,203,789.2,556,,,,,
SDBX36_22_6,,3,152,789.2,556,,,,,
34SHFF,TFL1W,2,1142.1,304.8,,19,1,1,0,0
34SHFF,TFL1W,2,418.2,609.6,,19,1,1,0,0
34SHFF,TFL1W,2,341.3,355.6,,19,1,1,0,0
34SHFF,TFL1W,2,909.6,355.6,,19,1,1,0,0
34SHFA,TFL1W,4,341.3,355.6,,19,1,1,1,1
34SHFA,TFL1W,1,909.6,355.6,,19,1,1,1,1
34SHFF,TFL1W,2,799.2,609.6,,19,1,1,0,0
34SHFF,TFL1W,2,569.9,355.6,,19,1,1,0,0
34SHFA,TFL1W,4,418.2,609.6,,19,1,1,1,1
34SHFA,TFL1W,2,799.2,355.6,,19,1,1,1,1
34SHFF,TFL1W,3,647.6,355.6,,19,1,1,0,0
34SHFF,TFL1W,1,799.2,355.6,,19,1,1,0,0
34SHFF,TFL1W,2,1187,355.6,,19,1,1,0,0
34SHFF,TFL1W,2,710.3,355.6,,19,1,1,0,0
34SHFA,TFL1W,3,569.9,355.6,,19,1,1,1,1
TK,TFL1W,1,569.9,96.5,,19,0,0,0,0
CLEAT,TFL1W,1,418.2,76.2,,19,1,1,1,1
CLEAT,TFL1W,1,569.9,76.2,,19,1,1,1,1
TK,TFL1W,1,341.3,96.5,,19,0,0,0,0
TK,TFL1W,1,909.6,96.5,,19,0,0,0,0
CLEAT,TFL1W,1,341.3,76.2,,19,1,1,1,1
CLEAT,TFL1W,1,909.6,76.2,,19,1,1,1,1
TK,TFL1W,1,418.2,96.5,,19,0,0,0,0
TK,TFL1W,1,799.2,96.5,,19,0,0,0,0
34TOPS,TFL1W,1,863.6,635,,19,1,1,1,1
34WPNLF,TFL1W,3,1204,355.6,,19,1,1,1,1
34WPNLF,TFL1W,2,628,304.8,,19,1,1,1,1
34WPNLR,TFL1W,1,1300,355.6,,19,1,1,1,1
34WPNLL,TFL1W,1,1300,355.6,,19,1,1,1,1
34WPNLF,TFL1W,1,308,355.6,,19,1,1,1,1
34WPNLF,TFL1W,1,628,355.6,,19,1,1,1,1
34PNLF,TFL1W,5,2132,355.6,,19,1,1,1,1
34PNLR,TFL1W,1,1140,609.6,,19,1,1,1,1
34PNLL,TFL1W,1,2452,609.6,,19,1,1,1,1
34PNLR,TFL1W,1,2452,609.6,,19,1,1,1,1
34PNLL,TFL1W,1,1140,609.6,,19,1,1,1,1
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,1177.5,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,700.8,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,3,,,638.1,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,900.1,,,,,
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,1132.6,,,,,
M-04-5311,Oval Rod Holder Chrome,18,,,,,,,,
M-105-DS10550H,"Undermount Softclose Slides 22""",5,,,,,,,,
R-5282G,Corner Bracket / Steel,18,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,87,,,,,,,,
H.290.12.781,Wall Rail Cover White,3,,,,,,,,
H.290.11.901,Wall Rail,3,,,,,,,,
H.290.06.040,Hanging Rail Hardware Cover Right White,8,,,,,,,,
H.290.06.020,Hanging Rail Hardware Cover Left White,8,,,,,,,,
H.290.02.715,Hanging Rail Hardware Left,8,,,,,,,,
M-06-7000,System screw Pozi (euro),63,,,,,,,,
M-03-2415,Adjustable Shelf Pins,78,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,123,,,,,,,,
H.263.50.705,Fixed Shelf Cams White,123,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,123,,,,,,,,
R-B1655WH,Corner Bracket / White,18,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,42,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,78,,,,,,,,
H.290.02.714,Hanging Rail Hardware Right,8,,,,,,,,
