Date (dd/mm/yyyy),22/12/2025,,,,,,,,,
Dealer (Company),Valley Lumber Co co Samson Tug & Barge,,,,,,,,,
Designer Name (First/Last),Joni Dahlstrom,,,,,,,,,
PO:/Design Name (First/Last),S Skye (Skye D Clsts V2),,,,,,,,,
Shipping Address,"9228 10th Avenue South,, Seattle, WA, US, 98108",,,,,,,,,
Phone,907-789-7500,,,,,,,,,
Tax ID,83-106189,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1679,,,,,,,,,
# of Core Parts,79,,,,,,,,,
# of Dovetails,5,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
SDBX30_22_6,,3,152,713,556,,,,,
SDBX30_22_8,,2,203,713,556,,,,,
34LCSHFFA,TFL1W,1,742.5,742.5,406.4,19,0,1,0,0
34LCSHFAR,TFL1W,2,742.5,742.5,406.4,19,0,1,0,0
34LCSHFFR,TFL1W,2,742.5,742.5,406.4,19,0,1,0,0
34SHFF,TFL1W,2,723,609.6,,19,1,1,0,0
34SHFA,TFL1W,8,418.2,304.8,,19,1,1,1,1
34SHFF,TFL1W,2,494.4,406.4,,19,1,1,0,0
34SHFA,TFL1W,4,494.4,406.4,,19,1,1,1,1
34SHFA,TFL1W,1,735.7,355.6,,19,1,1,1,1
34SHFF,TFL1W,2,900.8,355.6,,19,1,1,0,0
34SHFF,TFL1W,4,418.2,304.8,,19,1,1,0,0
34SHFA,TFL1W,2,723,355.6,,19,1,1,1,1
34SHFF,TFL1W,2,342,355.6,,19,1,1,0,0
34SHFA,TFL1W,4,342,355.6,,19,1,1,1,1
34SHFF,TFL1W,2,735.7,355.6,,19,1,1,0,0
34SHFF,TFL1W,1,424.6,355.6,,19,1,1,0,0
34SHFF,TFL1W,1,723,355.6,,19,1,1,0,0
34SHFF,TFL1W,2,1219.2,355.6,,19,1,1,0,0
34SHFF,TFL1W,1,1054.1,304.8,,19,1,1,0,0
TK,TFL1W,2,418.2,96.5,,19,0,0,0,0
TK,TFL1W,1,723.5,96.5,,19,0,0,0,0
TK,TFL1W,1,342,96.5,,19,0,0,0,0
CLEAT,TFL1W,2,418.2,76.2,,19,1,1,1,1
CLEAT,TFL1W,1,1054.1,76.2,,19,1,1,1,1
TK,TFL1W,1,494.4,96.5,,19,0,0,0,0
CLEAT,TFL1W,1,494.4,76.2,,19,1,1,1,1
TK,TFL1W,1,723,96.5,,19,0,0,0,0
CLEAT,TFL1W,1,342,76.2,,19,1,1,1,1
TK,TFL1W,1,363.6,96.5,,19,0,0,0,0
34TOPS,TFL1W,1,762,635,,19,1,1,1,1
34WPNLL,TFL1W,1,980,355.6,,19,1,1,1,1
34WPNLR,TFL1W,1,980,355.6,,19,1,1,1,1
34WPNLF,TFL1W,4,1204,355.6,,19,1,1,1,1
34WPNLF,TFL1W,2,340,355.6,,19,1,1,1,1
34WPNLF,TFL1W,2,308,355.6,,19,1,1,1,1
34PNLR,TFL1W,1,1140,609.6,,19,1,1,1,1
34PNLR,TFL1W,2,2132,304.8,,19,1,1,1,1
34PNLL,TFL1W,3,2132,406.4,,19,1,1,1,1
34PNLL,TFL1W,2,2132,304.8,,19,1,1,1,1
34PNLR,TFL1W,2,2132,406.4,,19,1,1,1,1
34PNLL,TFL1W,1,2132,355.6,,19,1,1,1,1
34PNLR,TFL1W,1,2132,355.6,,19,1,1,1,1
34PNLL,TFL1W,1,1140,609.6,,19,1,1,1,1
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,1,,,415,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,726.2,,,,,
M-04-5311,Oval Rod Holder Chrome,14,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,1209.7,,,,,
H.801.13.201.CTS,Oval Rod Chrome 1 - Cut to size,1,,,891.3,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,1,,,1044.6,,,,,
M-105-DS10550H,"Undermount Softclose Slides 22""",5,,,,,,,,
R-5282G,Corner Bracket / Steel,23,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,89,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,86,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,52,,,,,,,,
R-B1655WH,Corner Bracket / White,23,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,141,,,,,,,,
H.263.50.705,Fixed Shelf Cams White,141,,,,,,,,
M-03-2415,Adjustable Shelf Pins,109,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,141,,,,,,,,
M-06-7000,System screw Pozi (euro),69,,,,,,,,
H.290.02.715,Hanging Rail Hardware Left,9,,,,,,,,
H.290.06.040,Hanging Rail Hardware Cover Right White,9,,,,,,,,
H.290.06.020,Hanging Rail Hardware Cover Left White,9,,,,,,,,
H.290.11.901,Wall Rail,2,,,,,,,,
H.290.12.781,Wall Rail Cover White,2,,,,,,,,
H.290.02.714,Hanging Rail Hardware Right,9,,,,,,,,
