Date (dd/mm/yyyy),23/12/2025,,,,,,,,,
Dealer (Company),Foundation Flooring,,,,,,,,,
Designer Name (First/Last),Zanah Paret,,,,,,,,,
PO:/Design Name (First/Last),Steve Farrell (Dwnstrs Master V5),,,,,,,,,
Shipping Address,"4100 N Powerline Rd suite b 3,, Pompano Beach, FL, US, 33073",,,,,,,,,
Phone,954-357-2777,,,,,,,,,
Tax ID,27-1177754,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1682,,,,,,,,,
# of Core Parts,180,,,,,,,,,
# of Dovetails,22,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
DBX36_14_135,,4,135,904.4,340,,,,,
DBX36_14_231,,4,231,904.4,340,,,,,
DBX24_14_231,,6,231,599.6,340,,,,,
DBX24_14_103,,4,103,599.6,340,,,,,
DBX24_14_135,,1,135,599.6,340,,,,,
DBX30_18_231,,3,231,628.2,440,,,,,
DRWEURO,TFL3W-SMAT,3,285,654.2,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,1,189,625.6,,19,1,1,1,1
JDRWEURO,TFL3W-SMAT,2,157,625.6,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,4,285,930.4,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,4,157,625.6,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,6,285,625.6,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,4,189,930.4,,19,1,1,1,1
SFLAT4,TFL3W-SMAT,8,2438.4,101.6,,19,1,1,0,0
34RCSHFFA,TFL3W-SMAT,3,653.6,653.6,355.6,19,0,1,0,0
34LCSHFFA,TFL3W-SMAT,2,652,652,355.6,19,0,1,0,0
34SHFF,TFL3W-SMAT,10,609.6,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,3,565.1,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,6,638.2,482.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,20,790.6,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,1,633,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,6,946.1,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,6,914.4,355.6,,19,1,1,0,0
34SHFA,TFL3W-SMAT,4,914.4,355.6,,19,1,1,1,1
34SHFF,TFL3W-SMAT,3,774.7,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,3,490.5,355.6,,19,1,1,0,0
CLEAT,TFL3W-SMAT,2,914.4,76.2,,19,1,1,1,1
FILL,TFL3W-SMAT,1,404,76.2,,19,0,0,1,1
TK,TFL3W-SMAT,4,609.6,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,2,1012,609.6,,19,1,1,1,1
CLEAT,TFL3W-SMAT,1,774.7,76.2,,19,1,1,1,1
34BACK,TFL3W-SMAT,1,2132,813.7,,19,1,1,1,1
TK,TFL3W-SMAT,1,774.7,96.5,,19,0,0,0,0
FILL,TFL3W-SMAT,4,2132,76.2,,19,0,0,1,1
CLEAT,TFL3W-SMAT,2,946.1,76.2,,19,1,1,1,1
TK,TFL3W-SMAT,1,565.1,96.5,,19,0,0,0,0
CLEAT,TFL3W-SMAT,1,565.1,76.2,,19,1,1,1,1
TK,TFL3W-SMAT,1,495.4,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,1,2132,673.1,,19,1,1,1,1
34BACK,TFL3W-SMAT,1,2132,690.5,,19,1,1,1,1
34BACK,TFL3W-SMAT,1,2132,671.5,,19,1,1,1,1
TK,TFL3W-SMAT,1,493.2,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,1,2132,692.1,,19,1,1,1,1
