Date (dd/mm/yyyy),23/12/2025,,,,,,,,,
Dealer (Company),Foundation Flooring,,,,,,,,,
Designer Name (First/Last),Zanah Paret,,,,,,,,,
PO:/Design Name (First/Last),Steve Farrell (Farrell Bed 4 V4),,,,,,,,,
Shipping Address,"4100 N Powerline Rd suite b 3,, Pompano Beach, FL, US, 33073",,,,,,,,,
Phone,954-357-2777,,,,,,,,,
Tax ID,27-1177754,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1682,,,,,,,,,
# of Core Parts,58,,,,,,,,,
# of Dovetails,4,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
DBX36_14_231,,3,231,790.1,340,,,,,
DBX36_14_103,,1,103,790.1,340,,,,,
DRWEURO,TFL3W-SMAT,1,157,816.1,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,3,285,816.1,,19,1,1,1,1
34LCSHFFA,TFL3W-SMAT,3,691.7,691.7,355.6,19,0,1,0,0
34RCSHFFA,TFL3W-SMAT,3,691.7,691.7,355.6,19,0,1,0,0
34SHFA,TFL3W-SMAT,2,800.1,355.6,,19,1,1,1,1
34SHFF,TFL3W-SMAT,6,800.1,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,3,222.3,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,3,908,355.6,,19,1,1,0,0
TK,TFL3W-SMAT,2,800.1,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,1,2132,947.1,,19,1,1,1,1
CLEAT,TFL3W-SMAT,2,800.1,76.2,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,2132,829.3,,19,1,1,1,1
TK,TFL3W-SMAT,1,908,96.5,,19,0,0,0,0
CLEAT,TFL3W-SMAT,1,222.3,76.2,,19,1,1,1,1
CLEAT,TFL3W-SMAT,1,908,76.2,,19,1,1,1,1
TK,TFL3W-SMAT,1,549.3,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,2,2132,730.2,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,2132,711.2,,19,1,1,1,1
FILL,TFL3W-SMAT,3,2132,76.2,,19,0,0,1,1
TK,TFL3W-SMAT,1,222.3,96.5,,19,0,0,0,0
TK,TFL3W-SMAT,1,549.3,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,1,2132,261.2,,19,1,1,1,1
34PNLF,TFL3W-SMAT,9,2132,355.6,,19,1,1,1,1
34PNLR,TFL3W-SMAT,2,2132,355.6,,19,1,1,1,1
34PNLL,TFL3W-SMAT,2,2132,355.6,,19,1,1,1,1
H.801.43.340.CTS, Round Rod Black- Cut to size,2,,,790.6,,,,,
H.801.43.340.CTS, Round Rod Black- Cut to size,4,,,663.2,,,,,
H.801.43.340.CTS, Round Rod Black- Cut to size,2,,,898.5,,,,,
H.803.64.410, Round Rod Holder Black,18,,,,,,,,
H.801.43.340.CTS, Round Rod Black- Cut to size,1,,,212.7,,,,,
M-105-DS10350H,"Undermount Softclose Slides 14""",4,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,8,,,,,,,,
M-03-2415,Adjustable Shelf Pins,10,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,12,,,,,,,,
M-06-7000,System screw Pozi (euro),12,,,,,,,,
H.263.50.705,Fixed Shelf Cams White,120,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,120,,,,,,,,
R-B1655WH,Corner Bracket / White,13,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,26,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,109,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,110,,,,,,,,
R-5282G,Corner Bracket / Steel,13,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,120,,,,,,,,
